[2025-02-12 10:36:45] 트래커 초기화 완료
[2025-02-12 10:36:54] 트래커 초기화 완료
[2025-02-12 10:36:54] ROI 선택됨: (440, 202, 36, 36)
[2025-02-12 10:36:54] MOSSE 추적 실패: 타겟 재탐색 중
[2025-02-12 10:36:56] 트래커 초기화 완료
[2025-02-12 10:36:56] ROI 선택됨: (437, 200, 53, 37)
[2025-02-12 10:36:56] 미사일 위치: [264, 248], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 2.3000000000000003, 'right': -2.3000000000000003}
[2025-02-12 10:36:56] 미사일 위치: [278, 246], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 2.6, 'right': -2.6}
[2025-02-12 10:36:56] 미사일 위치: [292, 244], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 2.5, 'right': -2.5}
[2025-02-12 10:36:56] 미사일 위치: [306, 242], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 2.9000000000000004, 'right': -2.9000000000000004}
[2025-02-12 10:36:56] 미사일 위치: [320, 240], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 2.9000000000000004, 'right': -2.9000000000000004}
[2025-02-12 10:36:56] 미사일 위치: [334, 237], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.2, 'right': -3.2}
[2025-02-12 10:36:56] 미사일 위치: [348, 234], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.3000000000000003, 'right': -3.3000000000000003}
[2025-02-12 10:36:56] 미사일 위치: [362, 231], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.5, 'right': -3.5}
[2025-02-12 10:36:56] 미사일 위치: [376, 228], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.6, 'right': -3.6}
[2025-02-12 10:36:56] 미사일 위치: [390, 225], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.6, 'right': -3.6}
[2025-02-12 10:36:56] 미사일 위치: [404, 222], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 3.7, 'right': -3.7}
[2025-02-12 10:36:56] 미사일 위치: [418, 219], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.7, 'right': -3.7}
[2025-02-12 10:36:56] 미사일 위치: [432, 216], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.7, 'right': -3.7}
[2025-02-12 10:36:56] 미사일 위치: [446, 213], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.6, 'right': -3.6}
[2025-02-12 10:36:56] 미사일 위치: [460, 210], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.5, 'right': -3.5}
[2025-02-12 10:36:56] 미사일 위치: [474, 207], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.5, 'right': -3.5}
[2025-02-12 10:36:56] 미사일 위치: [488, 204], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.1, 'right': -3.1}
[2025-02-12 10:36:56] 미사일 위치: [502, 201], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.0, 'right': -3.0}
[2025-02-12 10:36:56] 미사일 위치: [516, 198], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 3.0, 'right': -3.0}
[2025-02-12 10:36:56] 미사일 위치: [530, 195], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 3.0, 'right': -3.0}
[2025-02-12 10:36:56] 미사일 위치: [544, 193], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 2.7, 'right': -2.7}
[2025-02-12 10:36:56] 미사일 위치: [558, 191], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 2.6, 'right': -2.6}
[2025-02-12 10:36:56] 미사일 위치: [572, 189], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 2.6, 'right': -2.6}
[2025-02-12 10:36:56] 미사일 위치: [586, 187], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 2.6, 'right': -2.6}
[2025-02-12 10:36:56] 미사일 위치: [600, 185], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 2.4000000000000004, 'right': -2.4000000000000004}
[2025-02-12 10:36:56] 미사일 위치: [614, 183], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 2.3000000000000003, 'right': -2.3000000000000003}
[2025-02-12 10:36:56] 미사일 위치: [628, 181], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 2.3000000000000003, 'right': -2.3000000000000003}
[2025-02-12 10:36:57] 미사일 위치: [640, 179], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 2.0, 'right': -2.0}
[2025-02-12 10:36:57] 미사일 위치: [640, 177], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 2.1, 'right': -2.1}
[2025-02-12 10:36:57] 미사일 위치: [640, 175], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 2.1, 'right': -2.1}
[2025-02-12 10:36:57] 미사일 위치: [640, 173], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 2.1, 'right': -2.1}
[2025-02-12 10:36:57] 미사일 위치: [640, 171], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 2.0, 'right': -2.0}
[2025-02-12 10:36:57] 미사일 위치: [640, 170], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.9000000000000001, 'right': -1.9000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 169], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': 1.7000000000000002, 'right': -1.7000000000000002}
[2025-02-12 10:36:57] 미사일 위치: [640, 168], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.8, 'right': -1.8}
[2025-02-12 10:36:57] 미사일 위치: [640, 167], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.7000000000000002, 'right': -1.7000000000000002}
[2025-02-12 10:36:57] 미사일 위치: [640, 166], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.6, 'right': -1.6}
[2025-02-12 10:36:57] 미사일 위치: [640, 165], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.4000000000000001, 'right': -1.4000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 164], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.5, 'right': -1.5}
[2025-02-12 10:36:57] 미사일 위치: [640, 163], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.5, 'right': -1.5}
[2025-02-12 10:36:57] 미사일 위치: [640, 162], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.4000000000000001, 'right': -1.4000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 161], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.2000000000000002, 'right': -1.2000000000000002}
[2025-02-12 10:36:57] 미사일 위치: [640, 160], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.3, 'right': -1.3}
[2025-02-12 10:36:57] 미사일 위치: [640, 159], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 1.3, 'right': -1.3}
[2025-02-12 10:36:57] 미사일 위치: [640, 158], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 1.2000000000000002, 'right': -1.2000000000000002}
[2025-02-12 10:36:57] 미사일 위치: [640, 157], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 1.2000000000000002, 'right': -1.2000000000000002}
[2025-02-12 10:36:57] 미사일 위치: [640, 156], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 1.1, 'right': -1.1}
[2025-02-12 10:36:57] 미사일 위치: [640, 155], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 1.1, 'right': -1.1}
[2025-02-12 10:36:57] 미사일 위치: [640, 155], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.9, 'right': -0.9}
[2025-02-12 10:36:57] 미사일 위치: [640, 155], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 0.9, 'right': -0.9}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 1.0, 'right': -1.0}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 0.9, 'right': -0.9}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.7000000000000001, 'right': -0.7000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.100000000000001, 'bottom': -14.100000000000001, 'left': 0.7000000000000001, 'right': -0.7000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 0.7000000000000001, 'right': -0.7000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.6000000000000001, 'right': -0.6000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.6000000000000001, 'right': -0.6000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.7000000000000001, 'right': -0.7000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': 0.6000000000000001, 'right': -0.6000000000000001}
[2025-02-12 10:36:57] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.30000000000000004, 'right': -0.30000000000000004}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.30000000000000004, 'right': -0.30000000000000004}
[2025-02-12 10:36:58] 미사일 위치: [640, 154], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': 0.30000000000000004, 'right': -0.30000000000000004}
